pT			v2(MC)			E(v2(MC))			v2{2}			E(v2{2})			v2{4}			E(v2{4})
0.25002			0.028874			0.00041891			0			0			0			0
0.34998			0.042477			0.00041844			0			0			0			0
0.44999			0.05707			0.00041827			0			0			0			0
0.54726			0.071216			0.00045314			-4.572e-06			7.0201e-06			-8.702e-06			7.1897e-05
0.64725			0.084594			0.00053461			-5.7317e-06			6.4992e-06			-5.1564e-05			6.5838e-05
0.7472			0.10003			0.00063079			9.5924e-06			1.0326e-05			1.8424e-05			0.00010406
0.84723			0.1145			0.00074316			-nan			-nan			-nan			-nan
0.94719			0.1272			0.00087719			-nan			-nan			-nan			-nan
1.0472			0.14116			0.0010356			-6.907e-06			2.034e-05			-3.8839e-05			0.00021343
1.1472			0.15567			0.0012205			-inf			inf			-nan			-nan
1.2473			0.17217			0.0014341			-1.9661e-05			2.7139e-05			-0.00020651			0.0002783
1.3473			0.18406			0.0016959			3.4009e-05			2.4057e-05			0.00028454			0.00024762
1.4472			0.1987			0.0019986			4.3086e-05			4.5845e-05			0.00025698			0.00047438
1.5474			0.19958			0.0023588			-2.3347e-05			2.4706e-05			-0.00021156			0.00025212
1.6474			0.20259			0.0027738			-2.9075e-05			3.4345e-05			6.4856e-05			0.00034901
1.7472			0.20224			0.003295			-nan			-nan			-nan			-nan
1.8891			0.19596			0.0029633			6.1551e-05			4.6832e-05			0.00039999			0.00048068
2.089			0.19826			0.0041565			-nan			-nan			-nan			-nan
2.2887			0.1997			0.0057803			-nan			-nan			-nan			-nan
2.4887			0.19511			0.0080802			-nan			-nan			-nan			-nan
2.6887			0.19556			0.011327			-nan			-nan			-nan			-nan
2.8883			0.21751			0.016014			-nan			-nan			-nan			-nan
3.0906			0.21297			0.020718			-nan			-nan			-nan			-nan
3.3322			0.23622			0.022532			-nan			-nan			-nan			-nan
